SKU,Category,Size,Units_in_stock,Days_of_inventory_left,Dead_stock_flag,date
SKU-SHI-0015,Shirts,L,97,291,N,6/19/2022
SKU-PAN-0016,Pants,XXL,73,365,N,6/19/2022
SKU-SHI-0017,Shirts,L,38,126.7,N,6/19/2022
SKU-PAN-0018,Pants,XS,85,255,N,6/19/2022
SKU-CRO-0019,Croptops,XS,21,90,N,6/19/2022
SKU-PAN-0020,Pants,M,55,825,N,6/19/2022
SKU-PAN-0021,Pants,XS,53,795,N,6/19/2022
SKU-PAN-0022,Pants,S,73,273.8,N,6/19/2022
SKU-SHO-0023,Shorts,XXL,81,486,N,6/19/2022
SKU-SHI-0024,Shirts,XXL,30,225,N,6/19/2022
SKU-JAC-0025,Jackets,XS,56,560,N,6/19/2022
SKU-PAN-0026,Pants,XXL,67,670,N,6/19/2022
SKU-JAC-0027,Jackets,XL,28,210,N,6/19/2022
SKU-PAN-0028,Pants,XL,71,426,N,6/19/2022
SKU-TSH-0029,Tshirts,S,78,780,N,6/19/2022
SKU-CRO-0030,Croptops,L,37,158.6,N,6/19/2022
SKU-JAC-0031,Jackets,XL,30,225,N,6/19/2022
SKU-TSH-0032,Tshirts,S,80,600,N,6/19/2022
SKU-SHO-0033,Shorts,XS,103,999,N,6/19/2022
SKU-PAN-0034,Pants,XXL,53,999,N,6/19/2022
SKU-CRO-0035,Croptops,M,31,186,N,6/19/2022
SKU-SHI-0036,Shirts,L,112,999,N,6/19/2022
SKU-CRO-0037,Croptops,XXL,103,999,N,6/19/2022
SKU-CRO-0038,Croptops,XL,24,240,N,6/19/2022
SKU-SHO-0039,Shorts,XXL,98,999,N,6/19/2022
SKU-SHO-0040,Shorts,XL,111,999,N,6/19/2022
SKU-TSH-0041,Tshirts,XS,114,999,N,6/19/2022
SKU-CRO-0042,Croptops,M,110,999,N,6/19/2022
SKU-CRO-0043,Croptops,M,47,705,N,6/19/2022
SKU-JAC-0044,Jackets,S,98,999,N,6/19/2022
SKU-SHI-0045,Shirts,XS,95,950,N,6/19/2022
SKU-JAC-0046,Jackets,L,116,999,N,6/19/2022
SKU-PAN-0047,Pants,S,92,920,N,6/19/2022
SKU-CRO-0048,Croptops,M,44,660,N,6/19/2022
SKU-TSH-0049,Tshirts,XS,113,999,N,6/19/2022
SKU-SHO-0050,Shorts,XL,103,999,N,6/19/2022
SKU-SHI-0051,Shirts,XS,56,336,N,6/19/2022
SKU-SHI-0052,Shirts,XS,68,510,N,6/19/2022
SKU-JAC-0053,Jackets,L,63,999,N,6/19/2022
SKU-SHI-0054,Shirts,S,68,680,N,6/19/2022
SKU-JAC-0055,Jackets,XL,104,999,N,6/19/2022
SKU-SHI-0001,Shirts,M,0,0,N,6/26/2022
SKU-PAN-0002,Pants,XL,0,0,N,6/26/2022
SKU-SHI-0003,Shirts,XL,0,0,N,6/26/2022
SKU-TSH-0004,Tshirts,M,0,0,N,6/26/2022
SKU-CRO-0005,Croptops,S,0,0,N,6/26/2022
SKU-SHI-0006,Shirts,XXL,0,0,N,6/26/2022
SKU-CRO-0007,Croptops,XL,0,0,N,6/26/2022
SKU-PAN-0008,Pants,S,35,70,N,6/26/2022
SKU-PAN-0009,Pants,S,15,50,N,6/26/2022
SKU-TSH-0010,Tshirts,XXL,0,0,N,6/26/2022
SKU-SHO-0011,Shorts,L,53,113.6,N,6/26/2022
SKU-TSH-0012,Tshirts,L,0,0,N,6/26/2022
SKU-SHI-0013,Shirts,XS,24,48,N,6/26/2022
SKU-CRO-0014,Croptops,XXL,0,0,N,6/26/2022
SKU-SHI-0015,Shirts,L,95,407.1,N,6/26/2022
SKU-PAN-0016,Pants,XXL,69,207,N,6/26/2022
SKU-SHI-0017,Shirts,M,38,162.9,N,6/26/2022
SKU-PAN-0018,Pants,M,83,311.2,N,6/26/2022
SKU-CRO-0019,Croptops,S,20,120,N,6/26/2022
SKU-PAN-0020,Pants,XXL,51,255,N,6/26/2022
SKU-PAN-0021,Pants,XS,53,795,N,6/26/2022
SKU-PAN-0022,Pants,XXL,73,438,N,6/26/2022
SKU-SHO-0023,Shorts,XL,80,400,N,6/26/2022
SKU-SHI-0024,Shirts,XS,30,225,N,6/26/2022
SKU-JAC-0025,Jackets,S,56,840,N,6/26/2022
SKU-PAN-0026,Pants,XS,65,487.5,N,6/26/2022
SKU-JAC-0027,Jackets,XXL,27,270,N,6/26/2022
SKU-PAN-0028,Pants,L,70,999,N,6/26/2022
SKU-TSH-0029,Tshirts,XXL,78,999,N,6/26/2022
SKU-CRO-0030,Croptops,S,36,180,N,6/26/2022
SKU-JAC-0031,Jackets,M,30,225,N,6/26/2022
SKU-TSH-0032,Tshirts,XXL,79,474,N,6/26/2022
SKU-SHO-0033,Shorts,XS,103,999,N,6/26/2022
SKU-PAN-0034,Pants,XL,53,999,N,6/26/2022
SKU-CRO-0035,Croptops,S,31,186,N,6/26/2022
SKU-SHI-0036,Shirts,S,111,999,N,6/26/2022
SKU-CRO-0037,Croptops,XS,102,999,N,6/26/2022
SKU-CRO-0038,Croptops,M,23,230,N,6/26/2022
SKU-SHO-0039,Shorts,L,94,705,N,6/26/2022
SKU-SHO-0040,Shorts,XL,110,999,N,6/26/2022
SKU-TSH-0041,Tshirts,M,113,999,N,6/26/2022
SKU-CRO-0042,Croptops,XXL,108,999,N,6/26/2022
SKU-CRO-0043,Croptops,XXL,47,705,N,6/26/2022
SKU-JAC-0044,Jackets,L,98,999,N,6/26/2022
SKU-SHI-0045,Shirts,S,95,950,N,6/26/2022
SKU-JAC-0046,Jackets,XXL,116,999,N,6/26/2022
SKU-PAN-0047,Pants,XXL,92,920,N,6/26/2022
SKU-CRO-0048,Croptops,XL,43,430,N,6/26/2022
SKU-TSH-0049,Tshirts,XS,113,999,N,6/26/2022
SKU-SHO-0050,Shorts,M,102,999,N,6/26/2022
SKU-SHI-0051,Shirts,XS,55,330,N,6/26/2022
SKU-SHI-0052,Shirts,L,65,325,N,6/26/2022
SKU-JAC-0053,Jackets,XL,63,999,N,6/26/2022
SKU-SHI-0054,Shirts,M,68,680,N,6/26/2022
SKU-JAC-0055,Jackets,XL,104,999,N,6/26/2022
SKU-SHI-0001,Shirts,L,0,0,N,7/3/2022
SKU-PAN-0002,Pants,S,0,0,N,7/3/2022
SKU-SHI-0003,Shirts,L,0,0,N,7/3/2022
SKU-TSH-0004,Tshirts,S,0,0,N,7/3/2022
SKU-CRO-0005,Croptops,XS,0,0,N,7/3/2022
SKU-SHI-0006,Shirts,XL,0,0,N,7/3/2022
SKU-CRO-0007,Croptops,XL,0,0,N,7/3/2022
SKU-PAN-0008,Pants,L,31,71.5,N,7/3/2022
SKU-PAN-0009,Pants,M,12,32.7,N,7/3/2022
SKU-TSH-0010,Tshirts,L,0,0,N,7/3/2022
SKU-SHO-0011,Shorts,S,51,117.7,N,7/3/2022
SKU-TSH-0012,Tshirts,S,0,0,N,7/3/2022
SKU-SHI-0013,Shirts,S,23,62.7,N,7/3/2022
SKU-CRO-0014,Croptops,XS,0,0,N,7/3/2022
SKU-SHI-0015,Shirts,S,94,352.5,N,7/3/2022
SKU-PAN-0016,Pants,XL,69,295.7,N,7/3/2022
SKU-SHI-0017,Shirts,M,38,570,N,7/3/2022
SKU-PAN-0018,Pants,L,82,615,N,7/3/2022
SKU-CRO-0019,Croptops,XL,18,90,N,7/3/2022
SKU-PAN-0020,Pants,M,48,160,N,7/3/2022
SKU-PAN-0021,Pants,S,53,795,N,7/3/2022
SKU-PAN-0022,Pants,XS,72,540,N,7/3/2022
SKU-SHO-0023,Shorts,XS,79,395,N,7/3/2022
SKU-SHI-0024,Shirts,XL,28,210,N,7/3/2022
SKU-JAC-0025,Jackets,S,55,825,N,7/3/2022
SKU-PAN-0026,Pants,L,64,480,N,7/3/2022
SKU-JAC-0027,Jackets,XXL,27,405,N,7/3/2022
SKU-PAN-0028,Pants,S,69,690,N,7/3/2022
SKU-TSH-0029,Tshirts,L,77,770,N,7/3/2022
SKU-CRO-0030,Croptops,XS,35,175,N,7/3/2022
SKU-JAC-0031,Jackets,M,29,435,N,7/3/2022
SKU-TSH-0032,Tshirts,M,77,330,N,7/3/2022
SKU-SHO-0033,Shorts,S,102,999,N,7/3/2022
SKU-PAN-0034,Pants,XS,51,765,N,7/3/2022
SKU-CRO-0035,Croptops,XXL,31,465,N,7/3/2022
SKU-SHI-0036,Shirts,XS,108,810,N,7/3/2022
SKU-CRO-0037,Croptops,XXL,102,999,N,7/3/2022
SKU-CRO-0038,Croptops,XL,22,220,N,7/3/2022
SKU-SHO-0039,Shorts,L,92,460,N,7/3/2022
SKU-SHO-0040,Shorts,XL,108,810,N,7/3/2022
SKU-TSH-0041,Tshirts,S,112,999,N,7/3/2022
SKU-CRO-0042,Croptops,M,108,999,N,7/3/2022
SKU-CRO-0043,Croptops,M,47,999,N,7/3/2022
SKU-JAC-0044,Jackets,L,98,999,N,7/3/2022
SKU-SHI-0045,Shirts,XL,94,940,N,7/3/2022
SKU-JAC-0046,Jackets,XXL,116,999,N,7/3/2022
SKU-PAN-0047,Pants,L,90,540,N,7/3/2022
SKU-CRO-0048,Croptops,XXL,42,420,N,7/3/2022
SKU-TSH-0049,Tshirts,XS,113,999,N,7/3/2022
SKU-SHO-0050,Shorts,XS,102,999,N,7/3/2022
SKU-SHI-0051,Shirts,XXL,54,270,N,7/3/2022
SKU-SHI-0052,Shirts,XL,64,320,N,7/3/2022
SKU-JAC-0053,Jackets,M,63,999,N,7/3/2022
SKU-SHI-0054,Shirts,XL,68,680,N,7/3/2022
SKU-JAC-0055,Jackets,XXL,104,999,N,7/3/2022
SKU-SHI-0001,Shirts,L,0,0,N,7/10/2022
SKU-PAN-0002,Pants,M,0,0,N,7/10/2022
SKU-SHI-0003,Shirts,XXL,0,0,N,7/10/2022
SKU-TSH-0004,Tshirts,XL,0,0,N,7/10/2022
SKU-CRO-0005,Croptops,XXL,0,0,N,7/10/2022
SKU-SHI-0006,Shirts,L,0,0,N,7/10/2022
SKU-CRO-0007,Croptops,XL,0,0,N,7/10/2022
SKU-PAN-0008,Pants,S,28,70,N,7/10/2022
SKU-PAN-0009,Pants,S,9,22.5,N,7/10/2022
SKU-TSH-0010,Tshirts,S,0,0,N,7/10/2022
SKU-SHO-0011,Shorts,XXL,49,105,N,7/10/2022
SKU-TSH-0012,Tshirts,XXL,0,0,N,7/10/2022
SKU-SHI-0013,Shirts,L,22,55,N,7/10/2022
SKU-CRO-0014,Croptops,M,0,0,N,7/10/2022
SKU-SHI-0015,Shirts,S,93,398.6,N,7/10/2022
SKU-PAN-0016,Pants,XS,67,287.1,N,7/10/2022
SKU-SHI-0017,Shirts,M,34,204,N,7/10/2022
SKU-PAN-0018,Pants,XXL,82,615,N,7/10/2022
SKU-CRO-0019,Croptops,XXL,15,56.2,N,7/10/2022
SKU-PAN-0020,Pants,S,48,160,N,7/10/2022
SKU-PAN-0021,Pants,XXL,53,999,N,7/10/2022
SKU-PAN-0022,Pants,S,71,426,N,7/10/2022
SKU-SHO-0023,Shorts,S,79,790,N,7/10/2022
SKU-SHI-0024,Shirts,XL,27,202.5,N,7/10/2022
SKU-JAC-0025,Jackets,XL,54,810,N,7/10/2022
SKU-PAN-0026,Pants,XXL,63,378,N,7/10/2022
SKU-JAC-0027,Jackets,XS,24,144,N,7/10/2022
SKU-PAN-0028,Pants,L,69,690,N,7/10/2022
SKU-TSH-0029,Tshirts,XXL,76,760,N,7/10/2022
SKU-CRO-0030,Croptops,M,34,170,N,7/10/2022
SKU-JAC-0031,Jackets,S,29,870,N,7/10/2022
SKU-TSH-0032,Tshirts,XXL,75,250,N,7/10/2022
SKU-SHO-0033,Shorts,L,101,999,N,7/10/2022
SKU-PAN-0034,Pants,S,51,765,N,7/10/2022
SKU-CRO-0035,Croptops,S,30,300,N,7/10/2022
SKU-SHI-0036,Shirts,M,107,642,N,7/10/2022
SKU-CRO-0037,Croptops,L,102,999,N,7/10/2022
SKU-CRO-0038,Croptops,M,21,210,N,7/10/2022
SKU-SHO-0039,Shorts,M,92,460,N,7/10/2022
SKU-SHO-0040,Shorts,S,108,810,N,7/10/2022
SKU-TSH-0041,Tshirts,L,111,999,N,7/10/2022
SKU-CRO-0042,Croptops,XXL,108,999,N,7/10/2022
SKU-CRO-0043,Croptops,XL,45,675,N,7/10/2022
SKU-JAC-0044,Jackets,XS,98,999,N,7/10/2022
SKU-SHI-0045,Shirts,XXL,93,930,N,7/10/2022
SKU-JAC-0046,Jackets,XS,116,999,N,7/10/2022
SKU-PAN-0047,Pants,XL,90,675,N,7/10/2022
SKU-CRO-0048,Croptops,XS,42,630,N,7/10/2022
SKU-TSH-0049,Tshirts,M,112,999,N,7/10/2022
SKU-SHO-0050,Shorts,M,101,999,N,7/10/2022
SKU-SHI-0051,Shirts,M,53,227.1,N,7/10/2022
SKU-SHI-0052,Shirts,S,64,320,N,7/10/2022
SKU-JAC-0053,Jackets,S,63,999,N,7/10/2022
SKU-SHI-0054,Shirts,L,67,670,N,7/10/2022
SKU-JAC-0055,Jackets,M,104,999,Y,7/10/2022
SKU-SHI-0001,Shirts,XS,0,0,N,7/17/2022
SKU-PAN-0002,Pants,XL,0,0,N,7/17/2022
SKU-SHI-0003,Shirts,L,0,0,N,7/17/2022
SKU-TSH-0004,Tshirts,XL,0,0,N,7/17/2022
SKU-CRO-0005,Croptops,S,0,0,N,7/17/2022
SKU-SHI-0006,Shirts,S,0,0,N,7/17/2022
SKU-CRO-0007,Croptops,XL,0,0,N,7/17/2022
SKU-PAN-0008,Pants,XS,26,55.7,N,7/17/2022
SKU-PAN-0009,Pants,S,6,16.4,N,7/17/2022
SKU-TSH-0010,Tshirts,L,0,0,N,7/17/2022
SKU-SHO-0011,Shorts,L,49,147,N,7/17/2022
SKU-TSH-0012,Tshirts,XXL,0,0,N,7/17/2022
SKU-SHI-0013,Shirts,XXL,22,94.3,N,7/17/2022
SKU-CRO-0014,Croptops,M,0,0,N,7/17/2022
SKU-SHI-0015,Shirts,S,93,558,N,7/17/2022
SKU-PAN-0016,Pants,M,65,216.7,N,7/17/2022
SKU-SHI-0017,Shirts,L,32,160,N,7/17/2022
SKU-PAN-0018,Pants,XXL,82,820,N,7/17/2022
SKU-CRO-0019,Croptops,XS,14,60,N,7/17/2022
SKU-PAN-0020,Pants,XXL,47,176.2,N,7/17/2022
SKU-PAN-0021,Pants,XL,51,765,N,7/17/2022
SKU-PAN-0022,Pants,S,71,999,N,7/17/2022
SKU-SHO-0023,Shorts,XS,78,585,N,7/17/2022
SKU-SHI-0024,Shirts,L,23,98.6,N,7/17/2022
SKU-JAC-0025,Jackets,XL,54,810,N,7/17/2022
SKU-PAN-0026,Pants,M,62,310,N,7/17/2022
SKU-JAC-0027,Jackets,S,24,144,N,7/17/2022
SKU-PAN-0028,Pants,XL,69,690,N,7/17/2022
SKU-TSH-0029,Tshirts,XL,75,562.5,N,7/17/2022
SKU-CRO-0030,Croptops,S,33,247.5,N,7/17/2022
SKU-JAC-0031,Jackets,XS,27,270,N,7/17/2022
SKU-TSH-0032,Tshirts,XS,74,317.1,N,7/17/2022
SKU-SHO-0033,Shorts,S,101,999,N,7/17/2022
SKU-PAN-0034,Pants,M,51,765,N,7/17/2022
SKU-CRO-0035,Croptops,XL,29,435,N,7/17/2022
SKU-SHI-0036,Shirts,XXL,106,530,N,7/17/2022
SKU-CRO-0037,Croptops,S,101,999,N,7/17/2022
SKU-CRO-0038,Croptops,L,21,210,N,7/17/2022
SKU-SHO-0039,Shorts,XS,90,337.5,N,7/17/2022
SKU-SHO-0040,Shorts,M,107,802.5,N,7/17/2022
SKU-TSH-0041,Tshirts,XXL,111,999,N,7/17/2022
SKU-CRO-0042,Croptops,S,108,999,N,7/17/2022
SKU-CRO-0043,Croptops,XS,43,322.5,N,7/17/2022
SKU-JAC-0044,Jackets,S,98,999,N,7/17/2022
SKU-SHI-0045,Shirts,M,93,999,N,7/17/2022
SKU-JAC-0046,Jackets,S,116,999,N,7/17/2022
SKU-PAN-0047,Pants,XXL,90,999,N,7/17/2022
SKU-CRO-0048,Croptops,L,42,630,N,7/17/2022
SKU-TSH-0049,Tshirts,XS,111,999,N,7/17/2022
SKU-SHO-0050,Shorts,M,100,999,N,7/17/2022
SKU-SHI-0051,Shirts,M,53,530,N,7/17/2022
SKU-SHI-0052,Shirts,M,64,480,N,7/17/2022
SKU-JAC-0053,Jackets,S,61,610,N,7/17/2022
SKU-SHI-0054,Shirts,S,67,999,N,7/17/2022
SKU-JAC-0055,Jackets,XS,104,999,Y,7/17/2022
SKU-SHI-0001,Shirts,XXL,0,0,N,7/24/2022
SKU-PAN-0002,Pants,S,0,0,N,7/24/2022
SKU-SHI-0003,Shirts,XL,0,0,N,7/24/2022
SKU-TSH-0004,Tshirts,L,0,0,N,7/24/2022
SKU-CRO-0005,Croptops,XXL,0,0,N,7/24/2022
SKU-SHI-0006,Shirts,M,0,0,N,7/24/2022
SKU-CRO-0007,Croptops,S,0,0,N,7/24/2022
SKU-PAN-0008,Pants,XXL,21,45,N,7/24/2022
SKU-PAN-0009,Pants,L,3,6.9,N,7/24/2022
SKU-TSH-0010,Tshirts,M,0,0,N,7/24/2022
SKU-SHO-0011,Shorts,XXL,46,153.3,N,7/24/2022
SKU-TSH-0012,Tshirts,S,0,0,N,7/24/2022
SKU-SHI-0013,Shirts,XXL,20,85.7,N,7/24/2022
SKU-CRO-0014,Croptops,S,0,0,N,7/24/2022
SKU-SHI-0015,Shirts,M,91,682.5,N,7/24/2022
SKU-PAN-0016,Pants,XXL,64,274.3,N,7/24/2022
SKU-SHI-0017,Shirts,XXL,31,132.9,N,7/24/2022
SKU-PAN-0018,Pants,S,82,999,N,7/24/2022
SKU-CRO-0019,Croptops,L,12,45,N,7/24/2022
SKU-PAN-0020,Pants,XS,45,225,N,7/24/2022
SKU-PAN-0021,Pants,M,51,765,N,7/24/2022
SKU-PAN-0022,Pants,M,71,999,N,7/24/2022
SKU-SHO-0023,Shorts,XXL,77,577.5,N,7/24/2022
SKU-SHI-0024,Shirts,L,21,70,N,7/24/2022
SKU-JAC-0025,Jackets,S,53,530,N,7/24/2022
SKU-PAN-0026,Pants,L,62,372,N,7/24/2022
SKU-JAC-0027,Jackets,XXL,23,138,N,7/24/2022
SKU-PAN-0028,Pants,XS,68,999,N,7/24/2022
SKU-TSH-0029,Tshirts,M,73,438,N,7/24/2022
SKU-CRO-0030,Croptops,XL,32,240,N,7/24/2022
SKU-JAC-0031,Jackets,S,26,195,N,7/24/2022
SKU-TSH-0032,Tshirts,S,73,312.9,N,7/24/2022
SKU-SHO-0033,Shorts,M,98,588,N,7/24/2022
SKU-PAN-0034,Pants,M,51,765,N,7/24/2022
SKU-CRO-0035,Croptops,M,29,435,N,7/24/2022
SKU-SHI-0036,Shirts,XL,105,525,N,7/24/2022
SKU-CRO-0037,Croptops,S,98,735,N,7/24/2022
SKU-CRO-0038,Croptops,XS,21,315,N,7/24/2022
SKU-SHO-0039,Shorts,XXL,90,450,N,7/24/2022
SKU-SHO-0040,Shorts,M,106,636,N,7/24/2022
SKU-TSH-0041,Tshirts,S,109,817.5,N,7/24/2022
SKU-CRO-0042,Croptops,XS,108,999,N,7/24/2022
SKU-CRO-0043,Croptops,XXL,43,322.5,N,7/24/2022
SKU-JAC-0044,Jackets,L,98,999,N,7/24/2022
SKU-SHI-0045,Shirts,XS,92,920,N,7/24/2022
SKU-JAC-0046,Jackets,XS,116,999,N,7/24/2022
SKU-PAN-0047,Pants,M,90,999,N,7/24/2022
SKU-CRO-0048,Croptops,L,42,999,N,7/24/2022
SKU-TSH-0049,Tshirts,XXL,110,999,N,7/24/2022
SKU-SHO-0050,Shorts,XL,99,742.5,N,7/24/2022
SKU-SHI-0051,Shirts,XXL,52,520,N,7/24/2022
SKU-SHI-0052,Shirts,XL,64,640,N,7/24/2022
SKU-JAC-0053,Jackets,XL,61,915,N,7/24/2022
SKU-SHI-0054,Shirts,L,67,999,N,7/24/2022
SKU-JAC-0055,Jackets,L,104,999,Y,7/24/2022
SKU-SHI-0001,Shirts,M,0,0,N,7/31/2022
SKU-PAN-0002,Pants,L,0,0,N,7/31/2022
SKU-SHI-0003,Shirts,L,0,0,N,7/31/2022
SKU-TSH-0004,Tshirts,M,0,0,N,7/31/2022
SKU-CRO-0005,Croptops,L,0,0,N,7/31/2022
SKU-SHI-0006,Shirts,XS,0,0,N,7/31/2022
SKU-CRO-0007,Croptops,L,0,0,N,7/31/2022
SKU-PAN-0008,Pants,L,17,34,N,7/31/2022
SKU-PAN-0009,Pants,M,3,9,N,7/31/2022
SKU-TSH-0010,Tshirts,XXL,0,0,N,7/31/2022
SKU-SHO-0011,Shorts,M,43,143.3,N,7/31/2022
SKU-TSH-0012,Tshirts,XL,0,0,N,7/31/2022
SKU-SHI-0013,Shirts,XXL,18,90,N,7/31/2022
SKU-CRO-0014,Croptops,S,0,0,N,7/31/2022
SKU-SHI-0015,Shirts,M,88,377.1,N,7/31/2022
SKU-PAN-0016,Pants,S,61,228.8,N,7/31/2022
SKU-SHI-0017,Shirts,XL,30,112.5,N,7/31/2022
SKU-PAN-0018,Pants,S,80,999,N,7/31/2022
SKU-CRO-0019,Croptops,XXL,11,47.1,N,7/31/2022
SKU-PAN-0020,Pants,XL,43,161.2,N,7/31/2022
SKU-PAN-0021,Pants,XXL,49,367.5,N,7/31/2022
SKU-PAN-0022,Pants,M,71,999,N,7/31/2022
SKU-SHO-0023,Shorts,S,77,999,N,7/31/2022
SKU-SHI-0024,Shirts,XXL,21,90,N,7/31/2022
SKU-JAC-0025,Jackets,XS,52,520,N,7/31/2022
SKU-PAN-0026,Pants,XS,61,610,N,7/31/2022
SKU-JAC-0027,Jackets,XL,22,132,N,7/31/2022
SKU-PAN-0028,Pants,M,67,670,N,7/31/2022
SKU-TSH-0029,Tshirts,S,73,547.5,N,7/31/2022
SKU-CRO-0030,Croptops,XL,29,145,N,7/31/2022
SKU-JAC-0031,Jackets,XXL,24,144,N,7/31/2022
SKU-TSH-0032,Tshirts,XXL,73,438,N,7/31/2022
SKU-SHO-0033,Shorts,XXL,96,480,N,7/31/2022
SKU-PAN-0034,Pants,XXL,51,999,N,7/31/2022
SKU-CRO-0035,Croptops,L,29,435,N,7/31/2022
SKU-SHI-0036,Shirts,L,105,999,N,7/31/2022
SKU-CRO-0037,Croptops,XS,98,735,N,7/31/2022
SKU-CRO-0038,Croptops,S,21,630,N,7/31/2022
SKU-SHO-0039,Shorts,L,90,999,N,7/31/2022
SKU-SHO-0040,Shorts,XXL,106,999,N,7/31/2022
SKU-TSH-0041,Tshirts,XL,107,642,N,7/31/2022
SKU-CRO-0042,Croptops,XS,107,999,N,7/31/2022
SKU-CRO-0043,Croptops,L,42,252,N,7/31/2022
SKU-JAC-0044,Jackets,XXL,98,999,N,7/31/2022
SKU-SHI-0045,Shirts,M,92,999,N,7/31/2022
SKU-JAC-0046,Jackets,L,115,999,N,7/31/2022
SKU-PAN-0047,Pants,S,90,999,N,7/31/2022
SKU-CRO-0048,Croptops,M,42,999,N,7/31/2022
SKU-TSH-0049,Tshirts,S,110,999,N,7/31/2022
SKU-SHO-0050,Shorts,L,98,735,N,7/31/2022
SKU-SHI-0051,Shirts,M,52,780,N,7/31/2022
SKU-SHI-0052,Shirts,XS,64,999,N,7/31/2022
SKU-JAC-0053,Jackets,M,61,915,N,7/31/2022
SKU-SHI-0054,Shirts,S,67,999,N,7/31/2022
SKU-JAC-0055,Jackets,M,104,999,Y,7/31/2022
SKU-SHI-0001,Shirts,XXL,0,0,N,8/7/2022
SKU-PAN-0002,Pants,XS,0,0,N,8/7/2022
SKU-SHI-0003,Shirts,M,0,0,N,8/7/2022
SKU-TSH-0004,Tshirts,XXL,0,0,N,8/7/2022
SKU-CRO-0005,Croptops,XL,0,0,N,8/7/2022
SKU-SHI-0006,Shirts,L,0,0,N,8/7/2022
SKU-CRO-0007,Croptops,M,0,0,N,8/7/2022
SKU-PAN-0008,Pants,XXL,16,40,N,8/7/2022
SKU-PAN-0009,Pants,L,0,0,N,8/7/2022
SKU-TSH-0010,Tshirts,XS,0,0,N,8/7/2022
SKU-SHO-0011,Shorts,S,40,133.3,N,8/7/2022
SKU-TSH-0012,Tshirts,L,0,0,N,8/7/2022
SKU-SHI-0013,Shirts,L,14,46.7,N,8/7/2022
SKU-CRO-0014,Croptops,XS,0,0,N,8/7/2022
SKU-SHI-0015,Shirts,L,86,322.5,N,8/7/2022
SKU-PAN-0016,Pants,S,60,257.1,N,8/7/2022
SKU-SHI-0017,Shirts,M,26,86.7,N,8/7/2022
SKU-PAN-0018,Pants,S,79,790,N,8/7/2022
SKU-CRO-0019,Croptops,L,10,60,N,8/7/2022
SKU-PAN-0020,Pants,XL,41,175.7,N,8/7/2022
SKU-PAN-0021,Pants,XS,49,367.5,N,8/7/2022
SKU-PAN-0022,Pants,S,68,510,N,8/7/2022
SKU-SHO-0023,Shorts,XL,76,760,N,8/7/2022
SKU-SHI-0024,Shirts,XL,19,71.2,N,8/7/2022
SKU-JAC-0025,Jackets,L,49,245,N,8/7/2022
SKU-PAN-0026,Pants,S,60,450,N,8/7/2022
SKU-JAC-0027,Jackets,M,20,120,N,8/7/2022
SKU-PAN-0028,Pants,S,67,999,N,8/7/2022
SKU-TSH-0029,Tshirts,XXL,73,730,N,8/7/2022
SKU-CRO-0030,Croptops,XL,27,115.7,N,8/7/2022
SKU-JAC-0031,Jackets,XS,23,115,N,8/7/2022
SKU-TSH-0032,Tshirts,XS,73,730,N,8/7/2022
SKU-SHO-0033,Shorts,L,95,475,N,8/7/2022
SKU-PAN-0034,Pants,L,51,999,N,8/7/2022
SKU-CRO-0035,Croptops,XL,28,420,N,8/7/2022
SKU-SHI-0036,Shirts,M,103,772.5,N,8/7/2022
SKU-CRO-0037,Croptops,XL,98,735,N,8/7/2022
SKU-CRO-0038,Croptops,S,20,300,N,8/7/2022
SKU-SHO-0039,Shorts,XS,90,999,N,8/7/2022
SKU-SHO-0040,Shorts,XS,106,999,N,8/7/2022
SKU-TSH-0041,Tshirts,M,107,802.5,N,8/7/2022
SKU-CRO-0042,Croptops,S,106,999,N,8/7/2022
SKU-CRO-0043,Croptops,XS,40,240,N,8/7/2022
SKU-JAC-0044,Jackets,XS,97,999,N,8/7/2022
SKU-SHI-0045,Shirts,XS,91,910,N,8/7/2022
SKU-JAC-0046,Jackets,S,115,999,N,8/7/2022
SKU-PAN-0047,Pants,XL,90,999,N,8/7/2022
SKU-CRO-0048,Croptops,XL,41,999,N,8/7/2022
SKU-TSH-0049,Tshirts,S,109,999,N,8/7/2022
SKU-SHO-0050,Shorts,S,98,980,N,8/7/2022
SKU-SHI-0051,Shirts,XL,52,780,N,8/7/2022
SKU-SHI-0052,Shirts,S,63,999,N,8/7/2022
SKU-JAC-0053,Jackets,XL,61,915,N,8/7/2022
SKU-SHI-0054,Shirts,M,66,999,N,8/7/2022
SKU-JAC-0055,Jackets,M,104,999,Y,8/7/2022
SKU-SHI-0001,Shirts,XS,0,0,N,8/14/2022
SKU-PAN-0002,Pants,L,0,0,N,8/14/2022
SKU-SHI-0003,Shirts,XS,0,0,N,8/14/2022
SKU-TSH-0004,Tshirts,S,0,0,N,8/14/2022
SKU-CRO-0005,Croptops,XXL,0,0,N,8/14/2022
SKU-SHI-0006,Shirts,XXL,0,0,N,8/14/2022
SKU-CRO-0007,Croptops,XL,0,0,N,8/14/2022
SKU-PAN-0008,Pants,XL,9,15,N,8/14/2022
SKU-PAN-0009,Pants,XXL,0,0,N,8/14/2022
SKU-TSH-0010,Tshirts,M,0,0,N,8/14/2022
SKU-SHO-0011,Shorts,XXL,36,83.1,N,8/14/2022
SKU-TSH-0012,Tshirts,XS,0,0,N,8/14/2022
