SKU,Vendor,Order_quantity,Cost_per_unit,Order_date,Expected_delivery,Actual_delivery,Lead_time
SKU-CRO-0030,WestCo Garments,46,621,6/18/2023,7/27/2023,7/28/2023,40
SKU-CRO-0038,WestCo Garments,49,1060,6/18/2023,8/3/2023,8/5/2023,48
SKU-SHI-0001,UrbanWeave Co.,308,705,6/25/2023,8/8/2023,8/13/2023,49
SKU-CRO-0005,StitchWorks India,74,846,6/25/2023,8/5/2023,8/7/2023,43
SKU-SHI-0013,UrbanWeave Co.,53,1227,6/25/2023,8/1/2023,8/6/2023,42
SKU-CRO-0014,Apex Fashions,68,756,6/25/2023,8/3/2023,8/3/2023,39
SKU-SHI-0015,Apex Fashions,45,940,6/25/2023,8/18/2023,8/20/2023,56
SKU-CRO-0019,StitchWorks India,64,726,6/25/2023,8/3/2023,8/6/2023,42
SKU-PAN-0020,WestCo Garments,62,1163,6/25/2023,8/2/2023,8/2/2023,38
SKU-JAC-0027,StitchWorks India,42,1871,6/25/2023,8/4/2023,8/6/2023,42
SKU-JAC-0031,WestCo Garments,40,1800,6/25/2023,8/8/2023,8/13/2023,49
SKU-CRO-0035,Apex Fashions,49,721,6/25/2023,8/15/2023,8/15/2023,51
SKU-PAN-0002,Apex Fashions,174,982,7/2/2023,8/7/2023,8/8/2023,37
SKU-CRO-0007,Apex Fashions,73,818,7/2/2023,8/5/2023,8/10/2023,39
SKU-TSH-0012,UrbanWeave Co.,40,715,7/2/2023,8/14/2023,8/14/2023,43
SKU-SHI-0017,UrbanWeave Co.,54,842,7/2/2023,8/19/2023,8/21/2023,50
SKU-PAN-0021,Apex Fashions,66,1216,7/2/2023,8/10/2023,8/10/2023,39
SKU-SHO-0023,WestCo Garments,40,668,7/2/2023,8/14/2023,8/16/2023,45
SKU-SHI-0024,KnitCraft Studio,40,854,7/2/2023,8/21/2023,8/21/2023,50
SKU-JAC-0025,StitchWorks India,40,1639,7/2/2023,8/17/2023,8/19/2023,48
SKU-SHI-0003,KnitCraft Studio,151,1004,7/9/2023,8/15/2023,8/20/2023,42
SKU-PAN-0022,KnitCraft Studio,40,1076,7/9/2023,8/24/2023,8/24/2023,46
SKU-TSH-0004,StitchWorks India,94,539,7/16/2023,9/8/2023,9/13/2023,59
SKU-SHI-0006,KnitCraft Studio,104,1097,7/16/2023,8/13/2023,8/18/2023,33
SKU-PAN-0008,StitchWorks India,40,1152,7/16/2023,8/26/2023,8/26/2023,41
SKU-PAN-0009,KnitCraft Studio,40,1008,7/16/2023,9/3/2023,9/8/2023,54
SKU-TSH-0010,WestCo Garments,76,782,7/16/2023,8/17/2023,8/20/2023,35
SKU-SHO-0011,WestCo Garments,85,761,7/16/2023,8/18/2023,8/21/2023,36
SKU-PAN-0016,KnitCraft Studio,65,970,7/16/2023,8/13/2023,8/13/2023,28
SKU-PAN-0018,Apex Fashions,40,1176,7/16/2023,8/28/2023,8/29/2023,44
SKU-PAN-0026,WestCo Garments,40,1332,7/16/2023,9/9/2023,9/11/2023,57
SKU-CRO-0030,WestCo Garments,66,621,7/16/2023,9/6/2023,9/6/2023,52
SKU-CRO-0038,WestCo Garments,43,1060,7/16/2023,8/30/2023,9/1/2023,47
SKU-SHI-0001,UrbanWeave Co.,320,705,7/23/2023,9/3/2023,9/3/2023,42
SKU-CRO-0005,StitchWorks India,90,846,7/23/2023,9/16/2023,9/18/2023,57
SKU-SHI-0013,UrbanWeave Co.,44,1227,7/23/2023,9/11/2023,9/16/2023,55
SKU-CRO-0014,Apex Fashions,40,756,7/23/2023,9/15/2023,9/18/2023,57
SKU-SHI-0015,Apex Fashions,40,940,7/23/2023,9/16/2023,9/18/2023,57
SKU-CRO-0019,StitchWorks India,40,726,7/23/2023,9/7/2023,9/8/2023,47
SKU-PAN-0020,WestCo Garments,40,1163,7/23/2023,9/4/2023,9/9/2023,48
SKU-JAC-0027,StitchWorks India,52,1871,7/23/2023,8/21/2023,8/26/2023,34
SKU-PAN-0028,Apex Fashions,40,1317,7/23/2023,8/24/2023,8/26/2023,34
SKU-JAC-0031,WestCo Garments,40,1800,7/23/2023,9/5/2023,9/8/2023,47
SKU-CRO-0035,Apex Fashions,40,721,7/23/2023,9/2/2023,9/4/2023,43
SKU-PAN-0002,Apex Fashions,156,982,7/30/2023,9/8/2023,9/10/2023,42
SKU-CRO-0007,Apex Fashions,64,818,7/30/2023,8/29/2023,9/1/2023,33
SKU-TSH-0012,UrbanWeave Co.,40,715,7/30/2023,9/11/2023,9/12/2023,44
SKU-SHI-0017,UrbanWeave Co.,40,842,7/30/2023,9/22/2023,9/27/2023,59
SKU-PAN-0021,Apex Fashions,47,1216,7/30/2023,9/19/2023,9/22/2023,54
SKU-SHO-0023,WestCo Garments,47,668,7/30/2023,9/7/2023,9/12/2023,44
SKU-SHI-0024,KnitCraft Studio,40,854,7/30/2023,9/21/2023,9/24/2023,56
SKU-JAC-0025,StitchWorks India,40,1639,7/30/2023,8/30/2023,9/1/2023,33
SKU-CRO-0048,Apex Fashions,46,736,7/30/2023,9/2/2023,9/5/2023,37
SKU-SHI-0003,KnitCraft Studio,98,1004,8/6/2023,9/14/2023,9/19/2023,44
SKU-PAN-0022,KnitCraft Studio,64,1076,8/6/2023,9/5/2023,9/5/2023,30
SKU-TSH-0004,StitchWorks India,117,539,8/13/2023,9/26/2023,9/26/2023,44
SKU-SHI-0006,KnitCraft Studio,99,1097,8/13/2023,10/4/2023,10/7/2023,55
SKU-PAN-0008,StitchWorks India,77,1152,8/13/2023,9/23/2023,9/23/2023,41
SKU-PAN-0009,KnitCraft Studio,105,1008,8/13/2023,10/1/2023,10/3/2023,51
SKU-TSH-0010,WestCo Garments,66,782,8/13/2023,9/14/2023,9/16/2023,34
SKU-SHO-0011,WestCo Garments,42,761,8/13/2023,10/2/2023,10/2/2023,50
SKU-PAN-0016,KnitCraft Studio,69,970,8/13/2023,9/25/2023,9/28/2023,46
SKU-PAN-0018,Apex Fashions,40,1176,8/13/2023,9/26/2023,9/27/2023,45
SKU-PAN-0026,WestCo Garments,68,1332,8/13/2023,9/27/2023,10/2/2023,50
SKU-CRO-0030,WestCo Garments,54,621,8/13/2023,9/13/2023,9/16/2023,34
SKU-CRO-0038,WestCo Garments,42,1060,8/13/2023,9/28/2023,9/28/2023,46
SKU-SHI-0001,UrbanWeave Co.,434,705,8/20/2023,9/19/2023,9/19/2023,30
SKU-CRO-0005,StitchWorks India,106,846,8/20/2023,10/6/2023,10/8/2023,49
SKU-SHI-0013,UrbanWeave Co.,48,1227,8/20/2023,10/3/2023,10/5/2023,46
SKU-CRO-0014,Apex Fashions,40,756,8/20/2023,10/3/2023,10/5/2023,46
SKU-SHI-0015,Apex Fashions,64,940,8/20/2023,9/29/2023,10/4/2023,45
SKU-CRO-0019,StitchWorks India,40,726,8/20/2023,9/25/2023,9/28/2023,39
SKU-PAN-0020,WestCo Garments,42,1163,8/20/2023,10/11/2023,10/12/2023,53
SKU-JAC-0027,StitchWorks India,40,1871,8/20/2023,9/28/2023,9/28/2023,39
SKU-PAN-0028,Apex Fashions,40,1317,8/20/2023,10/8/2023,10/10/2023,51
SKU-TSH-0029,KnitCraft Studio,66,701,8/20/2023,9/19/2023,9/21/2023,32
SKU-JAC-0031,WestCo Garments,40,1800,8/20/2023,9/21/2023,9/23/2023,34
SKU-CRO-0035,Apex Fashions,63,721,8/20/2023,9/27/2023,9/29/2023,40
SKU-PAN-0002,Apex Fashions,196,982,8/27/2023,10/17/2023,10/20/2023,54
SKU-CRO-0007,Apex Fashions,94,818,8/27/2023,10/20/2023,10/25/2023,59
SKU-TSH-0012,UrbanWeave Co.,42,715,8/27/2023,9/25/2023,9/30/2023,34
SKU-SHI-0017,UrbanWeave Co.,40,842,8/27/2023,9/30/2023,9/30/2023,34
SKU-PAN-0021,Apex Fashions,66,1216,8/27/2023,9/26/2023,9/28/2023,32
SKU-SHO-0023,WestCo Garments,81,668,8/27/2023,10/10/2023,10/11/2023,45
SKU-SHI-0024,KnitCraft Studio,63,854,8/27/2023,9/25/2023,9/30/2023,34
SKU-JAC-0025,StitchWorks India,76,1639,8/27/2023,10/18/2023,10/18/2023,52
SKU-CRO-0048,Apex Fashions,57,736,8/27/2023,10/14/2023,10/15/2023,49
SKU-SHI-0003,KnitCraft Studio,162,1004,9/3/2023,10/5/2023,10/5/2023,32
SKU-PAN-0022,KnitCraft Studio,70,1076,9/3/2023,10/16/2023,10/21/2023,48
SKU-CRO-0043,WestCo Garments,60,677,9/3/2023,10/29/2023,10/29/2023,56
SKU-TSH-0004,StitchWorks India,136,539,9/10/2023,10/28/2023,10/29/2023,49
SKU-SHI-0006,KnitCraft Studio,136,1097,9/10/2023,11/3/2023,11/3/2023,54
SKU-PAN-0008,StitchWorks India,90,1152,9/10/2023,11/5/2023,11/10/2023,61
SKU-PAN-0009,KnitCraft Studio,46,1008,9/10/2023,10/9/2023,10/10/2023,30
SKU-TSH-0010,WestCo Garments,40,782,9/10/2023,10/26/2023,10/27/2023,47
SKU-SHO-0011,WestCo Garments,66,761,9/10/2023,11/2/2023,11/5/2023,56
SKU-PAN-0016,KnitCraft Studio,65,970,9/10/2023,10/18/2023,10/18/2023,38
SKU-PAN-0018,Apex Fashions,53,1176,9/10/2023,11/3/2023,11/6/2023,57
SKU-PAN-0026,WestCo Garments,69,1332,9/10/2023,10/20/2023,10/20/2023,40
SKU-CRO-0030,WestCo Garments,40,621,9/10/2023,10/19/2023,10/22/2023,42
SKU-CRO-0038,WestCo Garments,56,1060,9/10/2023,11/3/2023,11/3/2023,54
SKU-SHI-0001,UrbanWeave Co.,409,705,9/17/2023,11/4/2023,11/5/2023,49
SKU-CRO-0005,StitchWorks India,106,846,9/17/2023,11/2/2023,11/7/2023,51
SKU-SHI-0013,UrbanWeave Co.,40,1227,9/17/2023,11/12/2023,11/12/2023,56
SKU-CRO-0014,Apex Fashions,76,756,9/17/2023,10/29/2023,11/3/2023,47
SKU-SHI-0015,Apex Fashions,40,940,9/17/2023,10/22/2023,10/27/2023,40
SKU-CRO-0019,StitchWorks India,40,726,9/17/2023,11/3/2023,11/5/2023,49
SKU-PAN-0020,WestCo Garments,50,1163,9/17/2023,11/9/2023,11/10/2023,54
SKU-JAC-0027,StitchWorks India,40,1871,9/17/2023,10/15/2023,10/16/2023,29
SKU-PAN-0028,Apex Fashions,40,1317,9/17/2023,10/15/2023,10/20/2023,33
SKU-TSH-0029,KnitCraft Studio,40,701,9/17/2023,10/20/2023,10/22/2023,35
SKU-JAC-0031,WestCo Garments,54,1800,9/17/2023,11/6/2023,11/11/2023,55
SKU-PAN-0034,UrbanWeave Co.,40,1051,9/17/2023,10/21/2023,10/24/2023,37
SKU-CRO-0035,Apex Fashions,47,721,9/17/2023,10/31/2023,10/31/2023,44
SKU-PAN-0002,Apex Fashions,210,982,9/24/2023,10/22/2023,10/22/2023,28
SKU-CRO-0007,Apex Fashions,67,818,9/24/2023,10/30/2023,10/31/2023,37
SKU-TSH-0012,UrbanWeave Co.,64,715,9/24/2023,11/4/2023,11/6/2023,43
SKU-SHI-0017,UrbanWeave Co.,48,842,9/24/2023,11/15/2023,11/18/2023,55
SKU-PAN-0021,Apex Fashions,62,1216,9/24/2023,11/17/2023,11/17/2023,54
SKU-SHO-0023,WestCo Garments,50,668,9/24/2023,10/25/2023,10/30/2023,36
SKU-SHI-0024,KnitCraft Studio,40,854,9/24/2023,11/12/2023,11/12/2023,49
SKU-JAC-0025,StitchWorks India,64,1639,9/24/2023,11/13/2023,11/13/2023,50
SKU-CRO-0048,Apex Fashions,54,736,9/24/2023,11/12/2023,11/12/2023,49
SKU-SHI-0003,KnitCraft Studio,130,1004,10/1/2023,11/9/2023,11/11/2023,41
SKU-PAN-0022,KnitCraft Studio,62,1076,10/1/2023,10/30/2023,11/1/2023,31
SKU-CRO-0043,WestCo Garments,40,677,10/1/2023,11/26/2023,11/28/2023,58
SKU-TSH-0004,StitchWorks India,116,539,10/8/2023,11/14/2023,11/14/2023,37
SKU-SHI-0006,KnitCraft Studio,63,1097,10/8/2023,11/10/2023,11/10/2023,33
SKU-PAN-0008,StitchWorks India,57,1152,10/8/2023,11/6/2023,11/8/2023,31
SKU-PAN-0009,KnitCraft Studio,84,1008,10/8/2023,11/18/2023,11/18/2023,41
SKU-TSH-0010,WestCo Garments,55,782,10/8/2023,11/16/2023,11/18/2023,41
SKU-SHO-0011,WestCo Garments,56,761,10/8/2023,11/20/2023,11/20/2023,43
SKU-PAN-0016,KnitCraft Studio,52,970,10/8/2023,11/7/2023,11/9/2023,32
SKU-PAN-0018,Apex Fashions,40,1176,10/8/2023,11/17/2023,11/22/2023,45
SKU-PAN-0026,WestCo Garments,56,1332,10/8/2023,11/29/2023,11/29/2023,52
SKU-CRO-0030,WestCo Garments,40,621,10/8/2023,11/22/2023,11/22/2023,45
SKU-CRO-0038,WestCo Garments,62,1060,10/8/2023,11/16/2023,11/16/2023,39
SKU-SHI-0001,UrbanWeave Co.,451,705,10/15/2023,11/14/2023,11/19/2023,35
SKU-CRO-0005,StitchWorks India,116,846,10/15/2023,11/25/2023,11/26/2023,42
SKU-SHI-0013,UrbanWeave Co.,48,1227,10/15/2023,11/14/2023,11/15/2023,31
SKU-CRO-0014,Apex Fashions,62,756,10/15/2023,11/13/2023,11/14/2023,30
SKU-SHI-0015,Apex Fashions,56,940,10/15/2023,11/15/2023,11/16/2023,32
SKU-CRO-0019,StitchWorks India,58,726,10/15/2023,11/30/2023,12/2/2023,48
SKU-PAN-0020,WestCo Garments,68,1163,10/15/2023,11/19/2023,11/19/2023,35
SKU-JAC-0027,StitchWorks India,40,1871,10/15/2023,11/19/2023,11/19/2023,35
SKU-PAN-0028,Apex Fashions,40,1317,10/15/2023,12/7/2023,12/9/2023,55
SKU-TSH-0029,KnitCraft Studio,40,701,10/15/2023,11/14/2023,11/15/2023,31
SKU-JAC-0031,WestCo Garments,58,1800,10/15/2023,11/18/2023,11/18/2023,34
SKU-PAN-0034,UrbanWeave Co.,64,1051,10/15/2023,11/28/2023,11/29/2023,45
SKU-CRO-0035,Apex Fashions,46,721,10/15/2023,11/28/2023,11/30/2023,46
SKU-PAN-0002,Apex Fashions,234,982,10/22/2023,12/1/2023,12/1/2023,40
SKU-CRO-0007,Apex Fashions,102,818,10/22/2023,11/19/2023,11/24/2023,33
SKU-TSH-0012,UrbanWeave Co.,88,715,10/22/2023,12/9/2023,12/10/2023,49
SKU-SHI-0017,UrbanWeave Co.,40,842,10/22/2023,12/17/2023,12/17/2023,56
SKU-PAN-0021,Apex Fashions,56,1216,10/22/2023,12/11/2023,12/16/2023,55
SKU-SHO-0023,WestCo Garments,60,668,10/22/2023,12/5/2023,12/5/2023,44
SKU-SHI-0024,KnitCraft Studio,40,854,10/22/2023,12/16/2023,12/21/2023,60
SKU-JAC-0025,StitchWorks India,74,1639,10/22/2023,12/5/2023,12/5/2023,44
SKU-CRO-0048,Apex Fashions,40,736,10/22/2023,12/1/2023,12/6/2023,45
SKU-SHI-0003,KnitCraft Studio,226,1004,10/29/2023,11/29/2023,11/30/2023,32
SKU-PAN-0022,KnitCraft Studio,64,1076,10/29/2023,12/18/2023,12/20/2023,52
SKU-CRO-0043,WestCo Garments,52,677,10/29/2023,12/16/2023,12/19/2023,51
SKU-TSH-0004,StitchWorks India,172,539,11/5/2023,12/25/2023,12/25/2023,50
SKU-SHI-0006,KnitCraft Studio,82,1097,11/5/2023,12/4/2023,12/5/2023,30
SKU-PAN-0008,StitchWorks India,79,1152,11/5/2023,12/16/2023,12/19/2023,44
SKU-PAN-0009,KnitCraft Studio,70,1008,11/5/2023,12/13/2023,12/13/2023,38
SKU-TSH-0010,WestCo Garments,74,782,11/5/2023,12/31/2023,1/1/2024,57
SKU-SHO-0011,WestCo Garments,68,761,11/5/2023,12/8/2023,12/13/2023,38
SKU-PAN-0016,KnitCraft Studio,64,970,11/5/2023,12/8/2023,12/13/2023,38
SKU-PAN-0018,Apex Fashions,75,1176,11/5/2023,12/9/2023,12/10/2023,35
SKU-PAN-0026,WestCo Garments,66,1332,11/5/2023,12/21/2023,12/23/2023,48
SKU-CRO-0030,WestCo Garments,72,621,11/5/2023,12/18/2023,12/18/2023,43
SKU-CRO-0038,WestCo Garments,50,1060,11/5/2023,12/18/2023,12/23/2023,48
SKU-SHI-0051,StitchWorks India,40,928,11/5/2023,12/9/2023,12/14/2023,39
SKU-SHI-0001,UrbanWeave Co.,576,705,11/12/2023,12/28/2023,12/31/2023,49
SKU-CRO-0005,StitchWorks India,144,846,11/12/2023,12/13/2023,12/16/2023,34
SKU-SHI-0013,UrbanWeave Co.,46,1227,11/12/2023,1/2/2024,1/4/2024,53
SKU-CRO-0014,Apex Fashions,66,756,11/12/2023,12/30/2023,12/30/2023,48
SKU-SHI-0015,Apex Fashions,62,940,11/12/2023,12/22/2023,12/25/2023,43
SKU-CRO-0019,StitchWorks India,52,726,11/12/2023,12/11/2023,12/14/2023,32
SKU-PAN-0020,WestCo Garments,44,1163,11/12/2023,12/13/2023,12/13/2023,31
SKU-JAC-0027,StitchWorks India,53,1871,11/12/2023,1/2/2024,1/7/2024,56
SKU-PAN-0028,Apex Fashions,62,1317,11/12/2023,12/16/2023,12/16/2023,34
SKU-TSH-0029,KnitCraft Studio,40,701,11/12/2023,12/19/2023,12/19/2023,37
SKU-JAC-0031,WestCo Garments,52,1800,11/12/2023,12/29/2023,12/29/2023,47
SKU-TSH-0032,WestCo Garments,40,627,11/12/2023,1/2/2024,1/7/2024,56
SKU-PAN-0034,UrbanWeave Co.,60,1051,11/12/2023,1/7/2024,1/7/2024,56
SKU-CRO-0035,Apex Fashions,40,721,11/12/2023,12/14/2023,12/14/2023,32
SKU-PAN-0002,Apex Fashions,284,982,11/19/2023,1/7/2024,1/12/2024,54
SKU-CRO-0007,Apex Fashions,112,818,11/19/2023,1/13/2024,1/16/2024,58
SKU-TSH-0012,UrbanWeave Co.,81,715,11/19/2023,1/9/2024,1/12/2024,54
SKU-SHI-0017,UrbanWeave Co.,69,842,11/19/2023,1/6/2024,1/11/2024,53
SKU-PAN-0021,Apex Fashions,46,1216,11/19/2023,12/22/2023,12/22/2023,33
SKU-SHO-0023,WestCo Garments,68,668,11/19/2023,12/19/2023,12/22/2023,33
SKU-SHI-0024,KnitCraft Studio,65,854,11/19/2023,1/11/2024,1/11/2024,53
SKU-JAC-0025,StitchWorks India,68,1639,11/19/2023,1/2/2024,1/4/2024,46
SKU-CRO-0048,Apex Fashions,40,736,11/19/2023,12/31/2023,1/3/2024,45
SKU-SHI-0003,KnitCraft Studio,164,1004,11/26/2023,12/30/2023,12/30/2023,34
SKU-PAN-0022,KnitCraft Studio,40,1076,11/26/2023,1/1/2024,1/2/2024,37
SKU-CRO-0043,WestCo Garments,40,677,11/26/2023,12/26/2023,12/31/2023,35
SKU-TSH-0004,StitchWorks India,147,539,12/3/2023,1/18/2024,1/20/2024,48
SKU-SHI-0006,KnitCraft Studio,98,1097,12/3/2023,1/6/2024,1/6/2024,34
SKU-PAN-0008,StitchWorks India,78,1152,12/3/2023,1/4/2024,1/7/2024,35
SKU-PAN-0009,KnitCraft Studio,40,1008,12/3/2023,1/14/2024,1/14/2024,42
SKU-TSH-0010,WestCo Garments,80,782,12/3/2023,1/21/2024,1/23/2024,51
SKU-SHO-0011,WestCo Garments,62,761,12/3/2023,1/4/2024,1/6/2024,34
SKU-PAN-0016,KnitCraft Studio,70,970,12/3/2023,1/26/2024,1/29/2024,57
SKU-PAN-0018,Apex Fashions,40,1176,12/3/2023,1/1/2024,1/1/2024,29
SKU-PAN-0026,WestCo Garments,56,1332,12/3/2023,1/25/2024,1/26/2024,54
SKU-CRO-0030,WestCo Garments,64,621,12/3/2023,1/6/2024,1/7/2024,35
SKU-CRO-0038,WestCo Garments,56,1060,12/3/2023,1/12/2024,1/15/2024,43
SKU-SHI-0051,StitchWorks India,40,928,12/3/2023,1/27/2024,1/27/2024,55
SKU-SHI-0001,UrbanWeave Co.,360,705,12/10/2023,1/29/2024,1/31/2024,52
SKU-CRO-0005,StitchWorks India,92,846,12/10/2023,1/16/2024,1/18/2024,39
SKU-SHI-0013,UrbanWeave Co.,41,1227,12/10/2023,1/17/2024,1/22/2024,43
SKU-CRO-0014,Apex Fashions,46,756,12/10/2023,1/15/2024,1/16/2024,37
SKU-SHI-0015,Apex Fashions,48,940,12/10/2023,1/19/2024,1/19/2024,40
SKU-CRO-0019,StitchWorks India,48,726,12/10/2023,1/29/2024,1/31/2024,52
SKU-PAN-0020,WestCo Garments,40,1163,12/10/2023,1/19/2024,1/24/2024,45
SKU-JAC-0027,StitchWorks India,40,1871,12/10/2023,1/28/2024,2/2/2024,54
SKU-PAN-0028,Apex Fashions,40,1317,12/10/2023,1/28/2024,2/2/2024,54
SKU-TSH-0029,KnitCraft Studio,54,701,12/10/2023,1/7/2024,1/10/2024,31
SKU-JAC-0031,WestCo Garments,47,1800,12/10/2023,1/29/2024,1/29/2024,50
SKU-PAN-0034,UrbanWeave Co.,40,1051,12/10/2023,1/19/2024,1/19/2024,40
SKU-CRO-0035,Apex Fashions,40,721,12/10/2023,2/1/2024,2/3/2024,55
SKU-PAN-0002,Apex Fashions,187,982,12/17/2023,2/7/2024,2/9/2024,54
SKU-CRO-0007,Apex Fashions,64,818,12/17/2023,1/22/2024,1/24/2024,38
SKU-TSH-0012,UrbanWeave Co.,57,715,12/17/2023,1/31/2024,1/31/2024,45
SKU-SHI-0017,UrbanWeave Co.,40,842,12/17/2023,1/18/2024,1/18/2024,32
SKU-PAN-0021,Apex Fashions,41,1216,12/17/2023,1/29/2024,1/29/2024,43
SKU-SHO-0023,WestCo Garments,40,668,12/17/2023,1/19/2024,1/22/2024,36
SKU-SHI-0024,KnitCraft Studio,42,854,12/17/2023,1/22/2024,1/22/2024,36
SKU-JAC-0025,StitchWorks India,60,1639,12/17/2023,1/21/2024,1/21/2024,35
SKU-TSH-0032,WestCo Garments,61,627,12/17/2023,1/30/2024,2/4/2024,49
SKU-CRO-0048,Apex Fashions,40,736,12/17/2023,1/29/2024,1/31/2024,45
SKU-SHI-0003,KnitCraft Studio,154,1004,12/24/2023,2/7/2024,2/8/2024,46
SKU-PAN-0022,KnitCraft Studio,40,1076,12/24/2023,2/9/2024,2/9/2024,47
SKU-CRO-0043,WestCo Garments,45,677,12/24/2023,2/6/2024,2/11/2024,49
SKU-TSH-0004,StitchWorks India,108,539,12/31/2023,2/22/2024,2/23/2024,54
SKU-SHI-0006,KnitCraft Studio,100,1097,12/31/2023,2/7/2024,2/12/2024,43
SKU-PAN-0008,StitchWorks India,58,1152,12/31/2023,2/16/2024,2/21/2024,52
SKU-PAN-0009,KnitCraft Studio,40,1008,12/31/2023,2/18/2024,2/18/2024,49
SKU-TSH-0010,WestCo Garments,64,782,12/31/2023,1/28/2024,1/29/2024,29
SKU-SHO-0011,WestCo Garments,68,761,12/31/2023,2/25/2024,2/26/2024,57
SKU-PAN-0016,KnitCraft Studio,60,970,12/31/2023,2/20/2024,2/23/2024,54
SKU-PAN-0018,Apex Fashions,42,1176,12/31/2023,1/29/2024,2/1/2024,32
SKU-PAN-0026,WestCo Garments,41,1332,12/31/2023,2/13/2024,2/13/2024,44
SKU-CRO-0030,WestCo Garments,40,621,12/31/2023,2/1/2024,2/1/2024,32
SKU-CRO-0038,WestCo Garments,40,1060,12/31/2023,2/18/2024,2/21/2024,52
SKU-SHI-0051,StitchWorks India,57,928,12/31/2023,2/24/2024,2/29/2024,60
SKU-SHI-0001,UrbanWeave Co.,366,705,1/7/2024,2/5/2024,2/10/2024,34
SKU-CRO-0005,StitchWorks India,83,846,1/7/2024,2/16/2024,2/18/2024,42
SKU-SHI-0013,UrbanWeave Co.,40,1227,1/7/2024,2/7/2024,2/7/2024,31
SKU-CRO-0014,Apex Fashions,40,756,1/7/2024,2/27/2024,3/3/2024,56
SKU-SHI-0015,Apex Fashions,40,940,1/7/2024,2/11/2024,2/11/2024,35
SKU-CRO-0019,StitchWorks India,56,726,1/7/2024,2/10/2024,2/10/2024,34
SKU-PAN-0020,WestCo Garments,40,1163,1/7/2024,2/18/2024,2/18/2024,42
SKU-JAC-0027,StitchWorks India,50,1871,1/7/2024,2/18/2024,2/23/2024,47
SKU-PAN-0028,Apex Fashions,40,1317,1/7/2024,2/6/2024,2/6/2024,30
SKU-TSH-0029,KnitCraft Studio,40,701,1/7/2024,3/3/2024,3/5/2024,58
SKU-JAC-0031,WestCo Garments,40,1800,1/7/2024,2/28/2024,3/1/2024,54
SKU-PAN-0034,UrbanWeave Co.,56,1051,1/7/2024,2/9/2024,2/12/2024,36
SKU-CRO-0035,Apex Fashions,40,721,1/7/2024,2/19/2024,2/19/2024,43
SKU-PAN-0002,Apex Fashions,182,982,1/14/2024,2/24/2024,2/24/2024,41
SKU-CRO-0007,Apex Fashions,82,818,1/14/2024,3/2/2024,3/2/2024,48
SKU-TSH-0012,UrbanWeave Co.,66,715,1/14/2024,2/26/2024,2/29/2024,46
SKU-SHI-0017,UrbanWeave Co.,52,842,1/14/2024,2/14/2024,2/14/2024,31
SKU-PAN-0021,Apex Fashions,58,1216,1/14/2024,2/20/2024,2/20/2024,37
SKU-SHO-0023,WestCo Garments,40,668,1/14/2024,3/8/2024,3/10/2024,56
SKU-SHI-0024,KnitCraft Studio,66,854,1/14/2024,2/28/2024,3/2/2024,48
SKU-JAC-0025,StitchWorks India,40,1639,1/14/2024,2/23/2024,2/28/2024,45
SKU-TSH-0032,WestCo Garments,40,627,1/14/2024,2/12/2024,2/14/2024,31
SKU-CRO-0048,Apex Fashions,40,736,1/14/2024,2/26/2024,2/27/2024,44
SKU-SHI-0003,KnitCraft Studio,172,1004,1/21/2024,3/8/2024,3/8/2024,47
SKU-PAN-0022,KnitCraft Studio,52,1076,1/21/2024,2/23/2024,2/28/2024,38
SKU-CRO-0043,WestCo Garments,40,677,1/21/2024,2/26/2024,2/26/2024,36
SKU-TSH-0004,StitchWorks India,100,539,1/28/2024,2/27/2024,3/1/2024,33
SKU-SHI-0006,KnitCraft Studio,56,1097,1/28/2024,3/3/2024,3/5/2024,37
SKU-PAN-0008,StitchWorks India,40,1152,1/28/2024,3/14/2024,3/17/2024,49
SKU-PAN-0009,KnitCraft Studio,74,1008,1/28/2024,3/20/2024,3/21/2024,53
SKU-TSH-0010,WestCo Garments,47,782,1/28/2024,3/6/2024,3/11/2024,43
SKU-SHO-0011,WestCo Garments,56,761,1/28/2024,3/3/2024,3/3/2024,35
SKU-PAN-0016,KnitCraft Studio,40,970,1/28/2024,2/27/2024,3/3/2024,35
SKU-PAN-0018,Apex Fashions,71,1176,1/28/2024,3/8/2024,3/9/2024,41
SKU-PAN-0026,WestCo Garments,40,1332,1/28/2024,2/25/2024,3/1/2024,33
SKU-CRO-0030,WestCo Garments,40,621,1/28/2024,3/17/2024,3/18/2024,50
SKU-CRO-0038,WestCo Garments,40,1060,1/28/2024,3/18/2024,3/20/2024,52
SKU-SHI-0051,StitchWorks India,50,928,1/28/2024,3/13/2024,3/13/2024,45
SKU-JAC-0053,Apex Fashions,40,1660,1/28/2024,3/20/2024,3/21/2024,53
SKU-SHI-0001,UrbanWeave Co.,357,705,2/4/2024,3/23/2024,3/28/2024,53
SKU-CRO-0005,StitchWorks India,90,846,2/4/2024,3/16/2024,3/17/2024,42
SKU-SHI-0013,UrbanWeave Co.,40,1227,2/4/2024,3/17/2024,3/17/2024,42
SKU-CRO-0014,Apex Fashions,70,756,2/4/2024,3/3/2024,3/3/2024,28
SKU-SHI-0015,Apex Fashions,65,940,2/4/2024,3/14/2024,3/17/2024,42
SKU-CRO-0019,StitchWorks India,70,726,2/4/2024,3/28/2024,3/31/2024,56
